Youtuber分類,頻道(官方帳號),訂閱數,代名詞,粉絲團,道歉事件,,12/16是否存在
,"阿神
https://www.youtube.com/c/charlie615119",276萬,"阿神
芋圓柚子OEUR.studio",,✓,祉均,1(這欄不要刪掉，排序記得排他，複製記得複製)
知識教育類,"阿滴英文
https://www.youtube.com/channel/UCeo3JwE3HezUWFdVcehQk9Q",269萬,阿滴、阿滴英文、都省瑞,https://www.facebook.com/RayDuEnglish,✓,,1
,"Joeman
https://www.youtube.com/c/JoemanStarCraft",219萬,Joeman 九妹,"https://www.facebook.com/JoemanStation
https://www.instagram.com/joemanweng/",✓,,1
生活搞笑類,"木曜4超玩
https://www.youtube.com/channel/UCLW_SzI9txZvtOFTPDswxqg",218萬,木曜4超玩,https://www.facebook.com/Muyao4/,✓,,1
生活搞笑類,"眾量級CROWD
https://www.youtube.com/channel/UC3LBFXbWtEBdOOUb8-qJm9Q",209萬,眾量級CROWD、重量級、眾量級CROWDxFUN生活,https://www.facebook.com/etman0909,✓,,1
,"谷阿莫
https://www.youtube.com/c/amogood",198萬,谷阿莫,"https://www.facebook.com/amogoodlife
https://www.instagram.com/imamogood/",✓,,1
生活搞笑類,"黃氏兄弟
https://www.youtube.com/channel/UCV_S2S-Zs8LeuJxK-T3RQQg",185萬,黃氏兄弟,https://www.facebook.com/HuangHuangBrother,✓,,1
生活搞笑類,"WACKYBOYS 反骨男孩
https://www.youtube.com/channel/UCEfetJrzg6OcXWWuX8uhdhw",156萬,WACKYBOYS、反骨男孩、反骨,https://www.facebook.com/Wackyboys.Fans,✓,,1
生活搞笑類,"白癡公主
https://www.youtube.com/user/ATienDai",154萬,戴平雅、A減、痴痴、王美、貧乳界女神,https://www.facebook.com/BaiChiGongZhu,✓,,1
,"滴妹
https://www.youtube.com/channel/UCGpNjY0Xq2GJLXh4OOX1LOA",142萬,滴妹、都冠伶,https://www.facebook.com/crowndmei,✓,,1
,"HowFun
https://www.youtube.com/user/jasonjason1124",141萬,"HowFun
HowHow","https://www.facebook.com/howfunofficial
https://www.instagram.com/howhowhasfriends/",✓,,1
生活搞笑類,"聖結石Saint
https://www.youtube.com/channel/UCIdhd_1spj49unBWx1fjS2A",134萬,聖結石、曾聖傑,https://www.facebook.com/ShenJieShiSaint,✓,,1
生活搞笑類,"放火 Louis
https://www.youtube.com/channel/UCuLKTkYGCXako3wMktwrbkQ",124萬,放火、李育群,https://www.facebook.com/SetfireYC,✓,書戎,1
,"愛莉莎莎 Alisasa
https://www.youtube.com/channel/UCAKJ0tmI_RMXqTgxL_OMfIg",117萬,愛莉莎莎,"https://www.facebook.com/alisasa11111/
https://www.instagram.com/goodalicia/",✓,,1
知識教育類,"理科太太
https://www.youtube.com/c/liketaitai",111萬,理科太太、陳映彤,https://www.facebook.com/liketaitai,✓,,1
美妝穿搭類,"Hello Catie
https://www.youtube.com/c/HelloCatie",109萬,Hello Catie,"https://www.facebook.com/hellocatie45
https://instagram.com/hellocatie45/",✓,,1
生活搞笑類,"鍾明軒
https://www.youtube.com/channel/UCZVCbj9weVNAWqXS9gnfm5A",106萬,鍾明軒、煎熬弟、國際美人鍾明軒,https://www.facebook.com/ZhongMingXuan,✓,,1
生活搞笑類,"蔡桃貴 蔡阿嘎二伯's Family
https://www.youtube.com/channel/UCtSSBoYwD-yEkhvNdH0Zy3w",96.9萬,蔡桃貴、蔡阿嘎、二伯,無,✓,,1
料理美食類,"大蛇丸
https://www.youtube.com/channel/UCQd3V4gv_lcLX9SpIVW3wmw",92.8萬,大蛇丸,"https://www.facebook.com/people/%E5%A4%A7%E8%9B%87%E4%B8%B8/100044464928251/
https://www.instagram.com/jam_cutepig/?hl=zh-tw",✓,,1
料理美食類,"古娃娃WawaKu
https://www.youtube.com/channel/UCVw4CvsOUuVJpFyW_VPnIBQ",92.7萬,"古娃娃
wawawaku","https://www.facebook.com/wawawaku/
https://www.instagram.com/wawawaku/?hl=zh-tw",✓,,1
,"米砂Misa
https://www.youtube.com/user/misa7260",90.5萬,米砂、Misa、老濕姬、江佳儒,https://www.facebook.com/misapage2,✓,,1
生活搞笑類,"黃大謙
https://www.youtube.com/channel/UCgDQKFV2rMNzTE8Y3rHMVbQ",90.3萬,黃大謙、大謙,https://www.facebook.com/HuangDaChien,✓,,1
生活搞笑類,"上班不要看 NSFW
https://www.youtube.com/channel/UCj_z-Zeqk8LfwVxx0MUdL-Q/videos",87.2萬,上班不要看、上班可以看,https://www.facebook.com/nsfwstudio,✓,,1
,"一隻阿圓 I am CIRCLE
https://www.youtube.com/c/NANACIAOCIAO",70.4萬,一隻阿圓、阿圓,"https://www.instagram.com/nanaciaociao/
https://www.facebook.com/nanciaociao/",✓,,1
電玩實況類,"Toyz
https://www.youtube.com/c/Toyz69",68.9萬,Toyz,https://www.facebook.com/Toyzlau/,✓,,1
生活搞笑類,"瑀熙 Yuci
https://www.youtube.com/channel/UCjL1yWauBeI6WoQNVLyxwqQ",67.7萬,瑀熙、Yuci、大王瑀康熙,https://www.facebook.com/igotallday,✓,祐琳,1
,"呱吉
https://www.youtube.com/user/FroggyChiu",60.4萬,呱吉、上班不要看,"https://www.facebook.com/froggychiu/
https://www.instagram.com/froggychiu/?hl=zh-tw",✓,,1
知識教育類,"Dr. Ivan 6
https://www.youtube.com/c/DrIvan6",50.6萬,Dr.Ivan,https://www.facebook.com/Dr.6.skin.care,✓,,1
生活搞笑類,"Stand up, Brian! 博恩站起來！
https://www.youtube.com/channel/UCUGlE8lf5qH--_XlsabI2XQ",50.5萬,"Stand up, Brian! 博恩站起來！、博恩、曾博恩、鋼鋼",https://www.facebook.com/brianstandup,✓,,1
生活搞笑類,"阿翰po影片
https://www.youtube.com/channel/UCEBaVKCwLP3UOdSq3LNNqmw",37萬,阿翰、阿翰po影片,https://www.facebook.com/hanhanpovideo,✓,,1
,"龍龍LungLung
https://www.youtube.com/c/%E9%BE%8D%E9%BE%8DLungLungtragiclife",35.8萬,龍龍LungLung,"https://www.facebook.com/lunglungtragiclife/
https://www.instagram.com/chienyu1006/",✓,,1
美妝穿搭類,"丹妮婊姐星球
https://www.youtube.com/c/%E4%B8%B9%E5%A6%AE%E5%A9%8A%E5%A7%90%E6%98%9F%E7%90%83",35.5萬,"丹妮婊姐星球
丹妮婊姐/婊姐","https://www.facebook.com/danny0425
https://www.instagram.com/dannybeeech/?hl=zh-tw",✓,,1
