期間,正面情緒,負面情緒,正面情緒(前一天),正面情緒(前二天),正面情緒(後一天),正面情緒(後二天),負面情緒(前一天),負面情緒(前二天),負面情緒(後一天),負面情緒(後二天),當天正負情緒比,前一天正負情緒比,前二天正負情緒比,後一天正負情緒比,後二天正負情緒比,當天情緒比變化量,隔天情緒比變化量,前一後一情緒變化量,前二後二情緒變化量,聲量,Youtuber,前一天聲量,前二天聲量,後一天聲量,後二天聲量,當天聲量變化量,隔天聲量變化量,前一後一聲量變化量,前二後二聲量變化量,Dcard,Dcard內文,PTT,PTT內文,apple_news,apple_news內文,ettoday,ettoday內文,Mobile01,Mobile01內文,opview,g/b,sub,category,sorry
2020/03/09,158,103,315.0,192.0,68.0,89.0,232.0,84.0,37.0,68.0,1.5339805825242718,1.3577586206896552,2.2857142857142856,1.837837837837838,1.3088235294117647,0.1762219618346165,0.3038572553135661,0.4800792171481827,-0.9768907563025208,797,阿神,1944.0,903.0,379.0,524.0,-1147.0,-418.0,-1565.0,-379.0,[],[],[],[],[],[],[],[],[],[],阿神,good,276.0,電玩實況類,True
2020/04/28,303,168,330.0,323.0,208.0,160.0,136.0,150.0,79.0,91.0,1.8035714285714288,2.426470588235294,2.1533333333333333,2.632911392405063,1.7582417582417582,-0.6228991596638653,0.8293399638336345,0.2064408041697691,-0.3950915750915751,1054,阿滴英文,1097.0,1071.0,702.0,608.0,-43.0,-352.0,-395.0,-463.0,[],[],[],[],[],[],[],[],[],[],阿滴,good,269.0,知識教育類,True
2021/02/15,3528,11728,4752.0,1973.0,1486.0,982.0,15963.0,7760.0,6768.0,4091.0,0.3008185538881309,0.2976884044352565,0.2542525773195876,0.2195626477541371,0.2400391102419946,0.0031301494528744,-0.0812559061339938,-0.0781257566811194,-0.0142134670775929,32325,愛莉莎莎 Alisasa,43987.0,20104.0,17172.0,10536.0,-11662.0,-15153.0,-26815.0,-9568.0,[],[],[],[],['愛莉莎莎4度鞠躬道歉！下架「肝膽排石法」2影片\u3000蒼藍鴿籲停止攻擊'],['網紅愛莉莎莎日前在YouTube拍影片介紹「肝膽排石法」，稱藉由喝下橄欖油混和液可排出體內膽結石，遭醫生YouTuber「蒼藍鴿」打臉；她第一時間堅持「不道歉」，引發醫界撻伐。愛莉莎莎前天深夜發文道歉，表示會接受所有人的建議，昨晚再發影片，對於自己不夠謹慎，向外界道歉，並下架2部「肝膽排石法」影片。\n今日推薦：後天開工「寒流恐報到」！北台灣先濕冷再轉乾\u3000這3天最凍下探10℃\n愛莉莎莎昨深夜發部道歉影片表示，看了非常多人的批評與指教，對自己的資訊內容不夠謹慎道歉「對不起」。她說，最近許多醫療人員告知，醫生在做報告時，不會採用健康雜誌或書籍當資料來源，而她在影片大量引用書本資訊，「對於自己沒有足夠醫療背景及知識下，就抨擊醫師，向大家道歉。」\n愛莉莎莎表示，當初急著將自己的經驗分享給大家，但這樣的養生方法可能不適用於每個人，也尚未獲得主流醫學認可，且對於急症病患可能有危險，「2部影片都有做錯的地方，因此將影片下架。」\n她提醒大家，做各種療法之前，一定要諮詢過專業的醫生。也反省表示，想分享對於自己不熟的領域，一定會請教更多專業背景的人，她認知到自己是有影響力的網紅，「做事說話都要多方查證，一舉一動更謹慎，謝謝大家的批評與指教。」\n而另一位當事人「蒼藍鴿」，周一(15日)晚間也在這支道歉影片下方留言回應。蒼藍鴿表示，他已收到莎莎的信，「內容也很有誠意，請大家就不要持續攻擊了」，他將再出一支小短片做最終回復， 「莎莎也辛苦了」。（即時新聞中心／綜合報導）\n蒼藍鴿回應全文：\n那個...莎莎的信我已經收到了，內容也很有誠意，請大家就不要持續攻擊了。 老實說12月底拍了那部影片想導正視聽，也沒想到後續引來的風波那麼大， 可能真實遇過使用該方法而產生急性問題的患者，所以講的時候也比較激動。 總之過年時刻浪費大家許多時間也不好意思，我之後會再出一支小短片做最終回復， 莎莎也辛苦了。\n愛莉莎莎\n肝膽排石法'],[],[],[],[],愛莉莎莎,bad,117.0,生活搞笑類,True
2021/05/25,417,2457,337.0,61.0,248.0,80.0,2669.0,102.0,2053.0,607.0,0.1697191697191697,0.126264518546272,0.5980392156862745,0.120798830979055,0.1317957166392092,0.0434546511728977,-0.0489203387401146,-0.0054656875672169,-0.4662434990470653,6329,愛莉莎莎 Alisasa,6156.0,362.0,4469.0,1361.0,173.0,-1860.0,-1687.0,999.0,['從討厭到喜歡的youtuber-Catie'],[nan],[],[],[],[],[],[],[],[],愛莉莎莎,bad,117.0,生活搞笑類,True
2020/11/07,2715,9373,2657.0,208.0,1736.0,616.0,11307.0,774.0,8625.0,2749.0,0.2896617945161635,0.2349871760856106,0.268733850129199,0.2012753623188405,0.224081484176064,0.0546746184305527,-0.0883864321973229,-0.0337118137667701,-0.0446523659531349,22262,鍾明軒,25859.0,1841.0,18617.0,5885.0,-3597.0,-3645.0,-7242.0,4044.0,[],[],[],[],['無緣配音《鬼滅》祝木棉花倒閉 鍾明軒道歉:有3個後悔'],[nan],[],[],[],[],鍾明軒,good,106.0,生活搞笑類,True
2019/12/23,159,430,289.0,110.0,310.0,121.0,1069.0,63.0,223.0,58.0,0.3697674418604651,0.2703461178671655,1.746031746031746,1.390134529147982,2.086206896551724,0.0994213239932995,1.020367087287517,1.1197884112808163,0.3401751505199781,1305,蔡桃貴 蔡阿嘎二伯's Family,2574.0,423.0,1209.0,435.0,-1269.0,-96.0,-1365.0,12.0,[],[],[],[],[],[],[],[],[],[],蔡桃貴,good,96.9,生活搞笑類,True
2020/10/31,81,52,19.0,29.0,75.0,87.0,13.0,10.0,49.0,56.0,1.5576923076923077,1.4615384615384617,2.9,1.530612244897959,1.5535714285714286,0.0961538461538462,-0.0270800627943486,0.0690737833594976,-1.3464285714285713,359,蔡桃貴 蔡阿嘎二伯's Family,69.0,80.0,289.0,291.0,290.0,-70.0,220.0,211.0,[],[],[],[],[],[],['蔡阿嘎突現教育部前下跪道歉！\u3000「我對不起大家」認浪費社會資源'],[nan],[],[],蔡桃貴,good,96.9,生活搞笑類,True
2020/09/05,47,389,10.0,7.0,9.0,4.0,52.0,11.0,29.0,30.0,0.1208226221079691,0.1923076923076923,0.6363636363636364,0.3103448275862069,0.1333333333333333,-0.0714850701997231,0.1895222054782377,0.1180371352785145,-0.503030303030303,692,大蛇丸,143.0,52.0,93.0,64.0,549.0,-599.0,-50.0,12.0,['大蛇丸道歉了⋯大家別再罵了吧（不喜勿入'],[nan],[],[],[],[],[],[],[],[],大蛇丸,good,92.8,料理美食類,True
2020/03/03,265,509,158.0,606.0,195.0,43.0,99.0,70.0,392.0,107.0,0.5206286836935167,1.595959595959596,8.657142857142857,0.4974489795918367,0.4018691588785046,-1.0753309122660792,-0.0231797041016799,-1.0985106163677592,-8.255273698264352,1560,上班不要看 NSFW,486.0,1245.0,1117.0,302.0,1074.0,-443.0,631.0,-943.0,[],[],[],[],['寧賠錢取消英、日行程\u3000潔哥嗆阿圓「防疫缺口都這種人害的」'],[nan],[],[],[],[],上班不要看,good,87.2,生活搞笑類,True
2020/03/07,8,21,16.0,60.0,141.0,65.0,39.0,166.0,1193.0,443.0,0.3809523809523809,0.4102564102564102,0.3614457831325301,0.1181894383906119,0.146726862302483,-0.0293040293040293,-0.262762942561769,-0.2920669718657983,-0.214718920830047,51,一隻阿圓 I am CIRCLE,111.0,377.0,2584.0,1045.0,-60.0,2533.0,2473.0,668.0,['阿圓道歉了！'],[nan],[],[],[],[],[],[],[],[],一隻阿圓,good,70.4,生活搞笑類,True
