Youtuber,sub,g/b,前二後二情緒變化量
阿神,276.0,good,0.5814207650273222
阿滴英文,269.0,good,0.149664978914596
Joeman,219.0,good,-1.0530860412834662
木曜4超玩,218.0,good,2.1818181818181817
木曜4超玩,218.0,good,0.8285714285714287
黃氏兄弟,185.0,good,-9.678030303030305
WACKYBOYS 反骨男孩,156.0,good,-0.0306715063520871
滴妹,142.0,good,2.0
放火 Louis,124.0,bad,-0.038324012879173
愛莉莎莎 Alisasa,117.0,bad,0.8004192872117402
愛莉莎莎 Alisasa,117.0,bad,-0.4412043138977802
愛莉莎莎 Alisasa,117.0,bad,-0.2414058934303938
鍾明軒,106.0,good,-2.0987246376811592
蔡桃貴 蔡阿嘎二伯's Family,96.9,good,-1.2490407285839766
蔡桃貴 蔡阿嘎二伯's Family,96.9,good,7.133333333333333
大蛇丸,92.8,good,0.1022727272727272
上班不要看 NSFW,87.2,good,-3.729371316306483
一隻阿圓 I am CIRCLE,70.4,good,-2.032493610806864
Toyz,68.9,bad,-0.2772754671488848
呱吉,60.4,bad,0.8749634823254454
"Stand up, Brian! 博恩站起來！",50.5,bad,-1.3398148148148148
龍龍LungLung,35.8,good,-0.0378098159986918
丹妮婊姐星球,35.5,good,-0.8500000000000001
丹妮婊姐星球,35.5,good,-1.5
heyitsmindy,18.3,bad,
綠眼鏡Punk,12.1,bad,
NanaQ,11.8,bad,-0.0916960104046323
統神大戲院,10.6,bad,-0.1007051428772646
統神大戲院,10.6,bad,-0.0586587928410984
鼻地大師國動-張葦航,22.4,bad,-0.1297487350999056
Dinter,75.7,bad,-0.0734201937655796
Jinnytty 企鵝妹 윰찌,29.4,bad,0.191860465116279
大麻煩,41.5,bad,-0.1605776972624799
見習網美小吳,105.0,good,-3.7777777777777777
見習網美小吳,105.0,good,-0.4761904761904761
許藍方博士 Dr. Gracie,28.7,good,-0.7648703688710914
谷阿莫,198.0,bad,-0.0785360274494852
