,Source,Title,Link,Date,Summary,Text,Like
0,apple_news,美女議員挺雙北停課！網紅媽喊話別逼死自己「三堅持免了」網讚爆,https://tw.appledaily.com/life/20210517/2XQJZB4DXZBLBMLDZSWI2ZRS6M/,出版時間: 2021/05/17 14:09,,"不等陳時中！雙北首長直接宣布防堵疫情，放出大絕招，直接宣布「高中職」以下學校，甚至就連幼兒園、安親班、保母，都要求先暫時停課、停托，希望守護孩子健康。美女議員鍾沛君也表示贊同！
鍾沛君上午就在臉書寫道：「我是台北市議員，也是一位母親，我沒有辦法無視台北，桃園，台中，彰化的孩子們陸續確診，更多孩子還深陷風險。呼籲雙北市，乃至於全國中小學立刻停課。既然病毒已經打到家門口了，就全面應戰吧！」
擁115萬粉絲追蹤的網紅《女王》，也看似早就超前部屬，表示這周已經先替孩子請假在家，但一早五點還是被小朋友挖起來，面對即將而來的兩周，她則開玩笑打趣說：「要自己全天面對“不要不要”階段的小孩⋯才一個早上就已累，哈。」
而人已移民到加拿到的彩妝部落客《Hello Catie》則喊話：「面對停課+不能出門遛小孩。各位媽媽們最需要的就是。降。低。標。準。不要逼死自己，讓全家人都能好好活著才是第一要務，什麼一天20分鐘電視時間，只能吃一顆糖果，三餐自己煮，這類的堅持很容易壓垮自己。一個爆炸全家就陷入可怕的情緒壓力中，非常時期看非常多電視也是能接受的。」
粉絲也紛紛呼應「真是說的沒錯 疫情已經夠苦了 何苦再為難要一起窩在家的同住人 保持心情的平靜有利健康」、「說的好！目前的目標是活下去」、「真的！不然只是互相傷害！」、「真的！媽媽不要逼死自己，各自做喜歡的事，多自在」。(即時新聞中心／綜合報導)
雙北停課",0
1,apple_news,【剁手片】彩妝控必追　這些YouTuber專門在放火,https://tw.appledaily.com/supplement/20170226/NLXXSCK3DAH67I5SB434GKLQWQ/,出版時間: 2017/02/26 00:10,,"隨著國外興起美妝YouTuber風潮，台灣也有許多優秀的YouTuber，跳脫傳統部落客以圖文方式介紹彩妝品，用影音能有更詳細的介紹，常常放火燒到小資女們買到快剁手！像是部落客Catie，只要她推薦的愛用品，通常賣場架上很快就會缺貨，原本只有圖文分享的她，2015年開始經營YouTube頻道，除了分享各國品牌的彩妝品及保養品，Catie也會分享各種生活主題，不論是業配或是自己購入的商品，她總是直白地說出產品的好壞，讓人覺得一點也不廣告，這就是她能擁有廣大粉絲的原因之一吧！
 
而受到大學生喜愛的查理，在頻道上有各種類型的美妝影片、試用分享等，曾在法國留學的她，交了一位瑞典男友，她男友也常會出現在她的影片中，像是男友的復仇這支影片，就請了男友幫她配音，這支影片搞笑的手法，也很受到粉絲歡迎。另外，近來討論度逐漸升高的小米，她不僅介紹彩妝、保養，頻道中還有會分享穿搭、生活等不同類型的主題，訂閱人數近期也突破十萬大軍了。
 
還有主要分享各種彩妝知識的大沛，頻道裡有妝容教學、產品心得及分析等各類影片，她也常在粉絲團上分享國內外各個彩妝品牌的折扣資訊，想撿好康的女孩可要趕快筆記下來喔！（楊晴雯／綜合報導）
你知道更多有趣的事物嗎？分享到手寫時代吧！
更多資訊請上吃喝玩樂蘋果花
 只要是Catie推薦的愛用品，通常賣場架上很快就會馬上缺貨，且她總是直白地說出產品的好壞，讓人覺得一點也不廣告。翻攝YouTube/ Hello Catie",0
