youtuber,date,A_error_type,A_thanks,A_compensation,A_apology,A_information,A_reverse,A_excuse,B_error_type,B_thanks,B_compensation,B_apology,B_information,B_reverse,B_excuse
阿神,2020/3/9,c,1,0,1,0,1,0,c,1,0,1,0,1,0
阿滴英文,2020/4/28,a,1,1,1,1,1,1,a,1,1,1,1,0,1
阿滴英文,2019/12/12,c,1,0,1,1,0,1,c,0,1,1,1,1,1
Joeman,2019/9/26,a,0,0,1,1,1,0,a,0,0,1,1,0,0
Joeman,2021/4/28,d,0,0,1,0,0,0,d,0,0,1,1,0,0
木曜4超玩,2021/7/4,b,0,0,1,1,0,0,b,0,0,1,1,0,0
木曜4超玩,2020/3/3,b,1,0,1,1,0,0,b,1,0,1,1,0,0
谷阿莫,2020/6/9,d,0,0,0,1,0,0,d,0,0,1,1,0,0
黃氏兄弟,2020/6/3,c,1,0,1,0,0,0,c,1,0,1,1,1,0
WACKYBOYS 反骨男孩,2019/7/27,d,1,0,1,0,0,0,d,1,0,1,0,0,0
WACKYBOYS 反骨男孩,2020/6/9,b,1,0,1,1,0,0,b,1,0,1,0,0,0
反骨 艾瑞絲,2019/4/11,a,1,0,1,1,1,0,a,1,0,1,0,1,1
反骨 艾瑞絲,2021/9/14,b,0,0,0,1,0,0,b,0,0,0,1,1,0
滴妹,2021/11/14,d,0,1,1,0,0,0,d,0,1,1,1,0,0
HowFun,2019/9/5,b,0,0,0,0,0,0,b,0,0,0,0,0,0
聖結石Saint,2017/7/13,a,0,0,1,0,0,1,a,0,0,1,0,0,1
聖結石Saint,2017/7/11,b,0,0,1,1,1,0,b,0,0,1,1,0,1
放火 Louis,2020/10/24,c,0,0,1,1,1,0,c,0,0,1,1,0,1
愛莉莎莎 Alisasa,2020/4/9,a,1,0,0,1,0,0,a,0,0,1,1,0,0
愛莉莎莎 Alisasa,2021/2/15,a,0,0,1,1,1,0,a,1,0,1,1,0,0
愛莉莎莎 Alisasa,2021/5/25,a,0,0,0,1,0,0,a,0,0,1,1,1,1
理科太太,2019/3/18,b,0,0,1,1,0,0,b,0,0,1,1,0,0
Hello Catie,2018/1/11,a,0,0,1,1,0,0,a,0,0,1,1,0,0
鍾明軒,2020/11/7,a,0,0,1,1,1,1,a,0,0,1,1,0,0
鍾明軒,2019/9/6,a,0,0,1,0,0,1,a,0,0,1,0,0,0
蔡桃貴 蔡阿嘎二伯's Family,2019/12/23,b,0,0,0,1,0,0,b,1,0,1,0,0,0
大蛇丸,2020/9/5,b,0,0,1,1,0,0,b,1,0,1,0,0,0
古娃娃WawaKu,2019/3/18,d,1,0,0,1,0,0,d,0,0,1,0,0,0
米砂Misa,2019/7/13,b,0,0,1,1,1,0,c,0,0,1,1,0,0
米砂Misa,2019/11/10,b,0,0,0,0,1,0,c,0,0,1,0,1,0
黃大謙,2019/11/18,a,0,0,1,1,0,0,a,0,0,1,0,1,0
上班不要看 NSFW,2020/3/3,b,0,0,0,1,0,0,b,1,0,1,1,0,0
一隻阿圓 I am CIRCLE,2020/3/7,b,1,0,1,1,0,1,b,1,0,1,1,0,0
Toyz,2019/6/14,a,0,0,1,1,0,0,a,0,0,1,0,0,0
Toyz,2021/7/15,a,0,0,0,1,0,1,b,0,0,1,0,0,0
瑀熙 Yuci,2018/5/25,a,0,0,1,0,0,1,b,0,0,1,0,0,1
呱吉,2021/10/1,a,0,0,1,1,0,0,a,0,0,1,1,0,0
呱吉,2019/12/6,a,0,0,1,1,0,1,a,0,0,1,1,0,0
Dr. Ivan 6,2018/9/12,a,0,0,1,0,1,1,a,0,0,1,0,0,1
"Stand up, Brian! 博恩站起來！",2019/8/9,a,1,0,1,0,0,0,a,1,0,1,0,0,0
"Stand up, Brian! 博恩站起來！",2020/7/18,b,1,1,1,1,1,0,b,0,1,1,1,1,0
龍龍LungLung,2021/10/12,a,1,0,1,1,1,1,b,0,0,1,1,1,0
丹妮婊姐星球,2019/10/28,b,0,0,1,0,0,0,a,0,0,1,1,0,0
丹妮婊姐星球,2019/12/9,a,0,0,0,0,0,0,a,0,0,0,0,0,0
丹妮婊姐星球,2020/2/23,b,0,0,1,0,0,1,b,0,0,1,0,0,1
丹妮婊姐星球,2021/7/6,d,0,0,1,0,0,0,d,0,0,1,0,0,0
heyitsmindy,2021/12/8,d,0,1,1,0,0,0,d,0,1,1,1,0,0
綠眼鏡Punk,2020/6/9,b,1,1,1,1,0,0,b,0,1,1,1,0,0
NanaQ,2021/7/29,b,1,0,1,0,1,1,b,0,0,1,0,1,1
統神大戲院,2021/12/2,a,0,0,1,0,0,0,b,0,0,1,1,0,0
統神大戲院,2021/7/22,a,0,0,0,1,0,0,b,0,0,0,1,0,0
